feature,coef,abs_coef
plan_type_Mensal,1.10738516085901,1.10738516085901
plan_type_Semestral,0.42062081629294834,0.42062081629294834
num_complaints,0.31531227039944476,0.31531227039944476
app_usage_score,-0.1763070247186186,0.1763070247186186
late_payments,0.1649330498739277,0.1649330498739277
contract_duration_months,-0.15563676400479487,0.15563676400479487
location_Subúrbio,-0.087600054822162,0.087600054822162
payment_method_Débito Automático,-0.07747565409994238,0.07747565409994238
payment_method_Cartão de Crédito,-0.07045539991473294,0.07045539991473294
total_spent,-0.04522205606878403,0.04522205606878403
marital_status_Divorciado,0.04024147265849541,0.04024147265849541
location_Urbano,-0.039502958302761425,0.039502958302761425
last_interaction_days,-0.032066166459712504,0.032066166459712504
monthly_value,0.027453640130650655,0.027453640130650655
gender_Masculino,0.021189643881886124,0.021189643881886124
marital_status_Solteiro,-0.017692798128931205,0.017692798128931205
data_usage_gb,0.015548303034384788,0.015548303034384788
num_services,0.01192599450335126,0.01192599450335126
age,0.006535420913243001,0.006535420913243001
service_failures,0.006403965809581213,0.006403965809581213
support_calls,-0.005618106764710701,0.005618106764710701
avg_monthly_minutes,-0.0035964766819085495,0.0035964766819085495
